,/,tfidf,norm_line,norm_unit,chi2,lsa
/,1.0,0.242564886352,0.52618590238,0.516356548929,0.201130165318,0.33677804731
tfidf,0.242564886352,1.0,0.239311805039,0.232216722521,0.49156582582,0.301246547107
norm_line,0.52618590238,0.239311805039,1.0,0.519890068287,0.197105879384,0.337969908998
norm_unit,0.516356548929,0.232216722521,0.519890068287,1.0,0.20006450075,0.331393636861
chi2,0.201130165318,0.49156582582,0.197105879384,0.20006450075,1.0,0.243896967063
lsa,0.33677804731,0.301246547107,0.337969908998,0.331393636861,0.243896967063,1.0
