,/,tfidf,norm_line,norm_unit,chi2,lsa
/,1.0,0.341278080424,0.663651041013,0.657111481074,0.260723433069,0.436945336141
tfidf,0.341278080424,1.0,0.340532864553,0.335571526297,0.359507093032,0.443892018531
norm_line,0.663651041013,0.340532864553,1.0,0.662053553311,0.258528610176,0.441164447672
norm_unit,0.657111481074,0.335571526297,0.662053553311,1.0,0.259461165682,0.433946802672
chi2,0.260723433069,0.359507093032,0.258528610176,0.259461165682,1.0,0.340463100794
lsa,0.436945336141,0.443892018531,0.441164447672,0.433946802672,0.340463100794,1.0
