,/,tfidf,norm_line,norm_unit,chi2,lsa
/,1.0,0.202444277827,0.491145195955,0.497742595919,-0.00127673621394,0.336957138476
tfidf,0.202444277827,1.0,0.164941946018,0.163688490257,-0.00186574391793,0.159751333484
norm_line,0.491145195955,0.164941946018,1.0,0.729736764215,-0.000319443289839,0.511759000635
norm_unit,0.497742595919,0.163688490257,0.729736764215,1.0,-0.000267957867088,0.508275284732
chi2,-0.00127673621394,-0.00186574391793,-0.000319443289839,-0.000267957867088,1.0,-5.02381787782e-06
lsa,0.336957138476,0.159751333484,0.511759000635,0.508275284732,-5.02381787782e-06,1.0
