,/,tfidf,norm_line,norm_unit,chi2,lsa
/,1.0,0.251328575235,0.415567115835,0.424316782815,0.174516594921,0.225093596197
tfidf,0.251328575235,1.0,0.246448953265,0.247921252997,0.251314553332,0.328084467939
norm_line,0.415567115835,0.246448953265,1.0,0.551944136742,0.123869484134,0.296801604106
norm_unit,0.424316782815,0.247921252997,0.551944136742,1.0,0.123785352721,0.290071091044
chi2,0.174516594921,0.251314553332,0.123869484134,0.123785352721,1.0,0.107463858547
lsa,0.225093596197,0.328084467939,0.296801604106,0.290071091044,0.107463858547,1.0
